Sr No.,Acknowledgement No,Bank A/C Number,IFSC Code,Address,Amount,Disputed Amount,Bank Name
65,ACK2025000065,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",39149,38523,ICICI Bank
66,ACK2025000066,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",13311,13059,ICICI Bank
67,ACK2025000067,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",26343,26078,Bank of Baroda
68,ACK2025000068,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",15088,14495,Bank of Baroda
69,ACK2025000069,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",22893,17469,Yes Bank
70,ACK2025000070,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",48434,37728,IndusInd Bank
71,ACK2025000071,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",42404,32163,ICICI Bank
72,ACK2025000072,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33711,31337,ICICI Bank
73,ACK2025000073,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",43491,41101,IndusInd Bank
74,ACK2025000074,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",54425,41168,Bank of Baroda
75,ACK2025000075,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",20781,18342,ICICI Bank
76,ACK2025000076,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",10225,7708,State Bank of India
77,ACK2025000077,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",33634,25648,Bank of Baroda
78,ACK2025000078,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",37684,36172,ICICI Bank
79,ACK2025000079,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",34586,32577,Bank of Baroda
80,ACK2025000080,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",18098,15263,Punjab National Bank
81,ACK2025000081,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",15474,12090,Bank of Baroda
82,ACK2025000082,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",51858,37746,Bank of Baroda
83,ACK2025000083,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",22457,20493,Bank of Baroda
84,ACK2025000084,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",40385,34848,Bank of Baroda
85,ACK2025000085,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",25804,19214,HDFC Bank
86,ACK2025000086,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",13813,12747,IndusInd Bank
87,ACK2025000087,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",51027,41519,ICICI Bank
88,ACK2025000088,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",11232,9167,Bank of Baroda
89,ACK2025000089,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",32853,29944,Yes Bank
90,ACK2025000090,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10631,9494,ICICI Bank
91,ACK2025000091,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",24152,21786,Bank of Baroda
92,ACK2025000092,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19676,15230,Bank of Baroda
93,ACK2025000093,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",36637,31267,Bank of Baroda
94,ACK2025000094,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",35592,25122,IndusInd Bank
95,ACK2025000095,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",16964,16088,ICICI Bank
96,ACK2025000096,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",8657,7543,Yes Bank
97,ACK2025000097,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",48288,47506,State Bank of India
98,ACK2025000098,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",37671,28295,IndusInd Bank
99,ACK2025000099,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",34640,33665,Bank of Baroda
100,ACK2025000100,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",38934,38041,Punjab National Bank
101,ACK2025000101,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",22734,16363,Punjab National Bank
102,ACK2025000102,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44654,38742,IndusInd Bank
103,ACK2025000103,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",33592,26640,Bank of Baroda
104,ACK2025000104,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",28872,23810,State Bank of India
105,ACK2025000105,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",49818,46104,Bank of Baroda
106,ACK2025000106,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20489,15622,HDFC Bank
107,ACK2025000107,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",35474,33706,Bank of Baroda
108,ACK2025000108,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",45336,34550,Bank of Baroda
109,ACK2025000109,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",35348,30215,Bank of Baroda
110,ACK2025000110,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",52665,42322,HDFC Bank
111,ACK2025000111,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",51218,37938,Bank of Baroda
112,ACK2025000112,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18204,14683,ICICI Bank
113,ACK2025000113,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",44273,40772,ICICI Bank
114,ACK2025000114,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",39211,34041,Yes Bank
115,ACK2025000115,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",45174,34526,Bank of Baroda
116,ACK2025000116,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",19063,16252,ICICI Bank
117,ACK2025000117,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",39521,29565,IndusInd Bank
118,ACK2025000118,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",12740,10532,State Bank of India
119,ACK2025000119,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",15361,12747,HDFC Bank
120,ACK2025000120,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",15760,11847,Bank of Baroda
121,ACK2025000121,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",19214,18678,Bank of Baroda
122,ACK2025000122,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",28847,26387,Bank of Baroda
123,ACK2025000123,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",34607,33647,IndusInd Bank
124,ACK2025000124,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",6850,5433,HDFC Bank
125,ACK2025000125,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",17068,14009,HDFC Bank
126,ACK2025000126,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35972,33375,ICICI Bank
127,ACK2025000127,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",38158,31175,Bank of Baroda
128,ACK2025000128,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35131,26608,ICICI Bank
129,ACK2025000129,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",13232,10142,IndusInd Bank
130,ACK2025000130,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20532,19835,Bank of Baroda
131,ACK2025000131,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",21987,16234,Bank of Baroda
132,ACK2025000132,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",12443,9709,Bank of Baroda
133,ACK2025000133,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",11732,10699,Punjab National Bank
134,ACK2025000134,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",39849,35596,Bank of Baroda
135,ACK2025000135,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",31012,26131,Bank of Baroda
136,ACK2025000136,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",24979,22989,IndusInd Bank
137,ACK2025000137,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",20013,15456,HDFC Bank
138,ACK2025000138,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",14946,14097,ICICI Bank
139,ACK2025000139,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",39247,36059,IndusInd Bank
140,ACK2025000140,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",5184,4764,ICICI Bank
141,ACK2025000141,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",33668,29767,Bank of Baroda
142,ACK2025000142,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",36850,33896,State Bank of India
143,ACK2025000143,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",17454,13258,Bank of Baroda
144,ACK2025000144,940073286779249,BARB0501050,"156 Law Garden Area, Ahmedabad, Gujarat 380006",38653,31574,Bank of Baroda
145,ACK2025000145,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",16255,13729,HDFC Bank
146,ACK2025000146,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",8942,8743,State Bank of India
147,ACK2025000147,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",21118,15904,HDFC Bank
148,ACK2025000148,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22857,17466,ICICI Bank
149,ACK2025000149,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",27207,26832,State Bank of India
150,ACK2025000150,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",17571,16745,HDFC Bank
151,ACK2025000151,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",38577,31579,IndusInd Bank
152,ACK2025000152,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",35220,27074,IndusInd Bank
153,ACK2025000153,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",51553,50750,IndusInd Bank
154,ACK2025000154,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",44137,41478,Bank of Baroda
155,ACK2025000155,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",12314,10764,HDFC Bank
156,ACK2025000156,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",9644,7302,Bank of Baroda
157,ACK2025000157,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",35404,27792,Bank of Baroda
158,ACK2025000158,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",6889,5529,HDFC Bank
159,ACK2025000159,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",50759,49688,Yes Bank
160,ACK2025000160,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",17571,14627,IndusInd Bank
161,ACK2025000161,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",48614,45565,IndusInd Bank
162,ACK2025000162,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",47571,44535,HDFC Bank
163,ACK2025000163,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",12948,11873,Punjab National Bank
164,ACK2025000164,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",18756,15623,ICICI Bank
165,ACK2025000165,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",10254,7379,Punjab National Bank
166,ACK2025000166,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",9621,8857,Bank of Baroda
167,ACK2025000167,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",40402,32032,IndusInd Bank
168,ACK2025000168,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",39104,34477,Yes Bank
169,ACK2025000169,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",6776,5372,Punjab National Bank
170,ACK2025000170,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22076,19113,IndusInd Bank
171,ACK2025000171,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",24054,21339,Bank of Baroda
172,ACK2025000172,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",29713,21276,Punjab National Bank
173,ACK2025000173,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",16415,12092,Bank of Baroda
174,ACK2025000174,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",31045,22892,Yes Bank
175,ACK2025000175,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",7180,7056,ICICI Bank
176,ACK2025000176,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",43347,35880,IndusInd Bank
177,ACK2025000177,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",47033,46902,Punjab National Bank
178,ACK2025000178,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",31677,29557,ICICI Bank
179,ACK2025000179,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",36263,29778,ICICI Bank
180,ACK2025000180,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",45062,38457,State Bank of India
181,ACK2025000181,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",49881,46155,ICICI Bank
182,ACK2025000182,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",26909,22941,Punjab National Bank
183,ACK2025000183,252591163911887,INDB0194637,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",22512,19555,IndusInd Bank
184,ACK2025000184,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",47292,36724,Yes Bank
185,ACK2025000185,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",14506,11365,Bank of Baroda
186,ACK2025000186,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",34947,33017,Yes Bank
187,ACK2025000187,857640992765761,BARB0133074,"House 89, Thaltej, Ahmedabad, Gujarat 380059",32417,29684,Bank of Baroda
188,ACK2025000188,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",47614,47122,Bank of Baroda
189,ACK2025000189,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",36790,34085,ICICI Bank
190,ACK2025000190,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",33457,26216,ICICI Bank
191,ACK2025000191,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",14740,14193,Yes Bank
192,ACK2025000192,560037969679329,INDB0990051,"156 Law Garden Area, Ahmedabad, Gujarat 380006",6015,5076,IndusInd Bank
193,ACK2025000193,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",46430,39783,Punjab National Bank
194,ACK2025000194,550749593397277,PUNB0963261,"67 Paldi Area, Ahmedabad, Gujarat 380007",40084,38340,Punjab National Bank
195,ACK2025000195,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",10169,7176,ICICI Bank
196,ACK2025000196,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",20495,19537,Bank of Baroda
197,ACK2025000197,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",23586,23487,HDFC Bank
198,ACK2025000198,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",36859,27999,ICICI Bank
199,ACK2025000199,787011596468685,BARB0354628,"45 CG Road, Navrangpura, Ahmedabad, Gujarat 380009",8750,6207,Bank of Baroda
200,ACK2025000200,823999426882416,SBIN0953739,"23 Stadium Circle, Ahmedabad, Gujarat 380014",27843,24046,State Bank of India
201,ACK2025000201,526889065534461,BARB0930087,"Flat 301, Satellite Area, Ahmedabad, Gujarat 380015",53669,44030,Bank of Baroda
202,ACK2025000202,596722704452334,ICIC0316406,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",32071,28613,ICICI Bank
203,ACK2025000203,728371089191849,ICIC0727582,"Plot 78, Vastrapur, Ahmedabad, Gujarat 380054",54060,44658,ICICI Bank
204,ACK2025000204,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",27517,26280,HDFC Bank
205,ACK2025000205,860618108202556,HDFC0423887,"House 89, Thaltej, Ahmedabad, Gujarat 380059",53666,47628,HDFC Bank
206,ACK2025000206,344921729172843,YESB0580084,"Shop No 12, Maninagar, Ahmedabad, Gujarat 380008",42219,39619,Yes Bank
